"","p0Fitted","kgFitted","Tg1Fitted","Tg2Fitted","khFitted","ThFitted","type","freq","rss"
"478",100.1,1.67,40.1,6.3,1.04,43.3,"minimum",1,6.10762457359449
"480",100.1,1.67,39.2,6.3,1.04,42.1,"minimum",1,0.332023107759752
"481",100.1,1.68,37.4,6.4,1.04,39.4,"saddle",1,1.14712360396586
"482",100.1,1.69,31.9,6.4,1.04,30.6,"saddle",1,0.471761690345576
"483",100.1,1.65,41.9,6.2,1.04,46.1,"minimum",1,0.469748113572042
"484",100.1,1.61,29.2,6.1,1.04,24.9,"minimum",1,1.66042612646738
"485",100.1,1.69,37,6.4,1.04,38.8,"saddle",1,2.10807962865
"486",100.6,5,19.8,14.2,0.81,22,"saddle",1,41.8410892597643
"487",100.1,1.6,28.9,6.1,1.05,24.2,"minimum",1,1.22307150006637
"488",100.1,1.68,31.4,6.4,1.04,29.7,"saddle",1,1.35494638254791
"489",100.1,1.68,37.9,6.4,1.04,40.2,"saddle",1,0.693025557088378
"490",100.1,1.69,36.8,6.4,1.04,38.4,"saddle",1,3.65197351944995
"491",100.1,1.69,32.9,6.4,1.04,32.4,"saddle",1,1.88554951764714
"492",100.1,1.67,30.6,6.3,1.04,28,"saddle",1,5.53524925276292
"493",100.1,1.67,30.7,6.3,1.04,28.2,"saddle",1,3.86462223932921
